,nombre_archivo,dimension,extension,categoria,ancho,alto
0,0.jpg,"(500, 304)",JPEG,birds,500,304
1,1.jpg,"(500, 374)",JPEG,birds,500,374
2,10.jpg,"(500, 333)",JPEG,birds,500,333
3,100.jpg,"(500, 333)",JPEG,birds,500,333
4,1000.jpg,"(469, 298)",JPEG,birds,469,298
5,1001.jpg,"(500, 335)",JPEG,birds,500,335
6,1002.jpg,"(500, 431)",JPEG,birds,500,431
7,1003.jpg,"(500, 333)",JPEG,birds,500,333
8,1004.jpg,"(320, 242)",JPEG,birds,320,242
9,1005.jpg,"(500, 358)",JPEG,birds,500,358
10,1006.jpg,"(500, 500)",JPEG,birds,500,500
11,1007.jpg,"(388, 500)",JPEG,birds,388,500
12,1008.jpg,"(500, 333)",JPEG,birds,500,333
13,1009.jpg,"(382, 500)",JPEG,birds,382,500
14,101.jpg,"(500, 362)",JPEG,birds,500,362
15,1010.jpg,"(500, 333)",JPEG,birds,500,333
16,1012.jpg,"(500, 333)",JPEG,birds,500,333
17,1013.jpg,"(500, 330)",JPEG,birds,500,330
18,1014.jpg,"(500, 334)",JPEG,birds,500,334
19,1015.jpg,"(500, 333)",JPEG,birds,500,333
20,1016.jpg,"(500, 351)",JPEG,birds,500,351
21,1017.jpg,"(333, 500)",JPEG,birds,333,500
22,1018.jpg,"(500, 411)",JPEG,birds,500,411
23,102.jpg,"(500, 375)",JPEG,birds,500,375
24,1020.jpg,"(420, 280)",JPEG,birds,420,280
25,1021.jpg,"(362, 500)",JPEG,birds,362,500
26,1022.jpg,"(500, 333)",JPEG,birds,500,333
27,1023.jpg,"(500, 357)",JPEG,birds,500,357
28,1024.jpg,"(420, 280)",JPEG,birds,420,280
29,1025.jpg,"(500, 357)",JPEG,birds,500,357
30,1026.jpg,"(333, 500)",JPEG,birds,333,500
31,1027.jpg,"(458, 500)",JPEG,birds,458,500
32,1028.jpg,"(500, 333)",JPEG,birds,500,333
33,1029.jpg,"(500, 333)",JPEG,birds,500,333
34,103.jpg,"(500, 356)",JPEG,birds,500,356
35,1030.jpg,"(500, 401)",JPEG,birds,500,401
36,1031.jpg,"(500, 500)",JPEG,birds,500,500
37,1032.jpg,"(500, 496)",JPEG,birds,500,496
38,1033.jpg,"(500, 465)",JPEG,birds,500,465
39,1034.jpg,"(500, 317)",JPEG,birds,500,317
40,1035.jpg,"(417, 339)",JPEG,birds,417,339
41,1036.jpg,"(500, 375)",JPEG,birds,500,375
42,1037.jpg,"(500, 300)",JPEG,birds,500,300
43,1038.jpg,"(500, 429)",JPEG,birds,500,429
44,1039.jpg,"(500, 400)",JPEG,birds,500,400
45,104.jpg,"(417, 500)",JPEG,birds,417,500
46,1040.jpg,"(500, 341)",JPEG,birds,500,341
47,1041.jpg,"(500, 336)",JPEG,birds,500,336
48,1042.jpg,"(500, 325)",JPEG,birds,500,325
49,1043.jpg,"(500, 333)",JPEG,birds,500,333
50,1044.jpg,"(500, 348)",JPEG,birds,500,348
51,1045.jpg,"(456, 500)",JPEG,birds,456,500
52,1046.jpg,"(500, 333)",JPEG,birds,500,333
53,1047.jpg,"(500, 349)",JPEG,birds,500,349
54,1048.jpg,"(500, 333)",JPEG,birds,500,333
55,1049.jpg,"(456, 311)",JPEG,birds,456,311
56,105.jpg,"(500, 333)",JPEG,birds,500,333
57,1050.jpg,"(333, 500)",JPEG,birds,333,500
58,1051.jpg,"(500, 460)",JPEG,birds,500,460
59,1052.jpg,"(320, 240)",JPEG,birds,320,240
60,1053.jpg,"(500, 406)",JPEG,birds,500,406
61,1054.jpg,"(500, 500)",JPEG,birds,500,500
62,1056.jpg,"(500, 362)",JPEG,birds,500,362
63,1057.jpg,"(411, 500)",JPEG,birds,411,500
64,1058.jpg,"(500, 500)",JPEG,birds,500,500
65,1059.jpg,"(500, 333)",JPEG,birds,500,333
66,106.jpg,"(500, 400)",JPEG,birds,500,400
67,1060.jpg,"(334, 500)",JPEG,birds,334,500
68,1061.jpg,"(500, 467)",JPEG,birds,500,467
69,1062.jpg,"(500, 375)",JPEG,birds,500,375
70,1063.jpg,"(500, 334)",JPEG,birds,500,334
71,1064.jpg,"(500, 387)",JPEG,birds,500,387
72,1065.jpg,"(400, 500)",JPEG,birds,400,500
73,1066.jpg,"(500, 400)",JPEG,birds,500,400
74,1067.jpg,"(500, 358)",JPEG,birds,500,358
75,1068.jpg,"(500, 335)",JPEG,birds,500,335
76,1069.jpg,"(500, 391)",JPEG,birds,500,391
77,107.jpg,"(386, 500)",JPEG,birds,386,500
78,1070.jpg,"(500, 333)",JPEG,birds,500,333
79,1071.jpg,"(500, 368)",JPEG,birds,500,368
80,1072.jpg,"(500, 333)",JPEG,birds,500,333
81,1073.jpg,"(500, 333)",JPEG,birds,500,333
82,1074.jpg,"(500, 330)",JPEG,birds,500,330
83,1075.jpg,"(500, 375)",JPEG,birds,500,375
84,1076.jpg,"(500, 375)",JPEG,birds,500,375
85,1077.jpg,"(500, 442)",JPEG,birds,500,442
86,1078.jpg,"(400, 500)",JPEG,birds,400,500
87,1079.jpg,"(500, 375)",JPEG,birds,500,375
88,108.jpg,"(500, 334)",JPEG,birds,500,334
89,1080.jpg,"(500, 301)",JPEG,birds,500,301
90,1081.jpg,"(500, 331)",JPEG,birds,500,331
91,1082.jpg,"(500, 347)",JPEG,birds,500,347
92,1083.jpg,"(434, 500)",JPEG,birds,434,500
93,1084.jpg,"(500, 330)",JPEG,birds,500,330
94,1085.jpg,"(500, 333)",JPEG,birds,500,333
95,1086.jpg,"(500, 441)",JPEG,birds,500,441
96,1087.jpg,"(500, 338)",JPEG,birds,500,338
97,1088.jpg,"(180, 180)",JPEG,birds,180,180
98,1089.jpg,"(500, 334)",JPEG,birds,500,334
99,109.jpg,"(500, 357)",JPEG,birds,500,357
100,1090.jpg,"(500, 375)",JPEG,birds,500,375
101,1091.jpg,"(500, 379)",JPEG,birds,500,379
102,1092.jpg,"(500, 335)",JPEG,birds,500,335
103,1093.jpg,"(350, 262)",JPEG,birds,350,262
104,1094.jpg,"(500, 375)",JPEG,birds,500,375
105,1095.jpg,"(200, 200)",JPEG,birds,200,200
106,1096.jpg,"(500, 311)",JPEG,birds,500,311
107,1097.jpg,"(437, 500)",JPEG,birds,437,500
108,1098.jpg,"(334, 500)",JPEG,birds,334,500
109,1099.jpg,"(345, 169)",JPEG,birds,345,169
110,11.jpg,"(500, 375)",JPEG,birds,500,375
111,110.jpg,"(500, 335)",JPEG,birds,500,335
112,1100.jpg,"(500, 369)",JPEG,birds,500,369
113,1101.jpg,"(500, 375)",JPEG,birds,500,375
114,1102.jpg,"(500, 415)",JPEG,birds,500,415
115,1104.jpg,"(318, 500)",JPEG,birds,318,500
116,1105.jpg,"(500, 335)",JPEG,birds,500,335
117,1106.jpg,"(500, 319)",JPEG,birds,500,319
118,1108.jpg,"(333, 500)",JPEG,birds,333,500
119,1109.jpg,"(500, 474)",JPEG,birds,500,474
120,111.jpg,"(500, 367)",JPEG,birds,500,367
121,1110.jpg,"(500, 436)",JPEG,birds,500,436
122,1111.jpg,"(500, 334)",JPEG,birds,500,334
123,1112.jpg,"(368, 500)",JPEG,birds,368,500
124,1113.jpg,"(500, 398)",JPEG,birds,500,398
125,1114.jpg,"(300, 278)",JPEG,birds,300,278
126,1115.jpg,"(500, 375)",JPEG,birds,500,375
127,1116.jpg,"(500, 400)",JPEG,birds,500,400
128,1117.jpg,"(500, 333)",JPEG,birds,500,333
129,1118.jpg,"(500, 500)",JPEG,birds,500,500
130,1119.jpg,"(500, 333)",JPEG,birds,500,333
131,112.jpg,"(140, 191)",JPEG,birds,140,191
132,1120.jpg,"(500, 374)",JPEG,birds,500,374
133,1121.jpg,"(334, 500)",JPEG,birds,334,500
134,1122.jpg,"(500, 376)",JPEG,birds,500,376
135,1123.jpg,"(437, 500)",JPEG,birds,437,500
136,1124.jpg,"(500, 333)",JPEG,birds,500,333
137,1125.jpg,"(500, 432)",JPEG,birds,500,432
138,1126.jpg,"(500, 333)",JPEG,birds,500,333
139,1127.jpg,"(500, 396)",JPEG,birds,500,396
140,1128.jpg,"(500, 376)",JPEG,birds,500,376
141,1129.jpg,"(500, 305)",JPEG,birds,500,305
142,113.jpg,"(437, 500)",JPEG,birds,437,500
143,1131.jpg,"(500, 318)",JPEG,birds,500,318
144,1132.jpg,"(339, 500)",JPEG,birds,339,500
145,1134.jpg,"(500, 333)",JPEG,birds,500,333
146,1135.jpg,"(500, 334)",JPEG,birds,500,334
147,1136.jpg,"(500, 312)",JPEG,birds,500,312
148,1137.jpg,"(500, 399)",JPEG,birds,500,399
149,1138.jpg,"(500, 334)",JPEG,birds,500,334
150,1139.jpg,"(500, 375)",JPEG,birds,500,375
151,114.jpg,"(500, 356)",JPEG,birds,500,356
152,1140.jpg,"(500, 479)",JPEG,birds,500,479
153,1141.jpg,"(349, 500)",JPEG,birds,349,500
154,1143.jpg,"(400, 290)",JPEG,birds,400,290
155,1144.jpg,"(500, 445)",JPEG,birds,500,445
156,1145.jpg,"(500, 334)",JPEG,birds,500,334
157,1146.jpg,"(375, 500)",JPEG,birds,375,500
158,1147.jpg,"(500, 273)",JPEG,birds,500,273
159,1148.jpg,"(357, 500)",JPEG,birds,357,500
160,1149.jpg,"(500, 319)",JPEG,birds,500,319
161,115.jpg,"(500, 370)",JPEG,birds,500,370
162,1150.jpg,"(339, 500)",JPEG,birds,339,500
163,1151.jpg,"(412, 336)",JPEG,birds,412,336
164,1152.jpg,"(328, 500)",JPEG,birds,328,500
165,1153.jpg,"(500, 375)",JPEG,birds,500,375
166,1154.jpg,"(400, 500)",JPEG,birds,400,500
167,1155.jpg,"(500, 486)",JPEG,birds,500,486
168,1156.jpg,"(500, 375)",JPEG,birds,500,375
169,1157.jpg,"(500, 333)",JPEG,birds,500,333
170,1158.jpg,"(500, 346)",JPEG,birds,500,346
171,1159.jpg,"(500, 446)",JPEG,birds,500,446
172,116.jpg,"(500, 333)",JPEG,birds,500,333
173,1160.jpg,"(500, 333)",JPEG,birds,500,333
174,1161.jpg,"(372, 500)",JPEG,birds,372,500
175,1162.jpg,"(500, 333)",JPEG,birds,500,333
176,1163.jpg,"(300, 220)",JPEG,birds,300,220
177,1164.jpg,"(253, 500)",JPEG,birds,253,500
178,1165.jpg,"(500, 334)",JPEG,birds,500,334
179,1166.jpg,"(473, 450)",JPEG,birds,473,450
180,1167.jpg,"(354, 500)",JPEG,birds,354,500
181,1168.jpg,"(500, 333)",JPEG,birds,500,333
182,1169.jpg,"(400, 500)",JPEG,birds,400,500
183,117.jpg,"(500, 399)",JPEG,birds,500,399
184,1170.jpg,"(500, 363)",JPEG,birds,500,363
185,1171.jpg,"(500, 400)",JPEG,birds,500,400
186,1172.jpg,"(500, 341)",JPEG,birds,500,341
187,1173.jpg,"(455, 500)",JPEG,birds,455,500
188,1174.jpg,"(500, 333)",JPEG,birds,500,333
189,1175.jpg,"(480, 384)",JPEG,birds,480,384
190,1176.jpg,"(500, 333)",JPEG,birds,500,333
191,1178.jpg,"(500, 313)",JPEG,birds,500,313
192,118.jpg,"(500, 340)",JPEG,birds,500,340
