                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6258,                  2.248,                 1.7198,                0.74496,                0.48764,                0.46949,                0.32064,                 1.5463,                 4.8246,                 1.5541,             0.00032219,             0.00032219,             0.00032219
                      2,                 1.5396,                 1.8217,                 1.6155,                0.35408,                   0.45,                0.15164,                 0.0917,                  1.633,                 48.995,                 3.8385,               0.000649,               0.000649,               0.000649
                      3,                  1.514,                 1.7286,                 1.6324,                 0.6523,                0.24806,                0.16954,                 0.0523,                 3.3514,                 7.9937,                 4.6024,             0.00096921,             0.00096921,             0.00096921
                      4,                 1.5713,                 1.7681,                 1.6519,                0.45781,                0.29815,                0.05586,                0.03544,                 2.3497,                 48.818,                 2.6959,               0.001078,               0.001078,               0.001078
                      5,                 1.5366,                 1.7867,                 1.6257,                0.34789,                0.53912,                0.18729,                0.09426,                 1.9797,                 5.7356,                 1.9601,               0.001078,               0.001078,               0.001078
                      6,                 1.5305,                  1.688,                 1.6175,                0.12364,                0.22715,                0.04667,                0.01824,                 2.1223,                 17.675,                 2.5601,               0.001067,               0.001067,               0.001067
                      7,                 1.4674,                  1.602,                 1.5748,                 0.5389,                0.54716,                 0.5427,                0.30881,                 1.9056,                 2.5346,                 1.7477,               0.001056,               0.001056,               0.001056
                      8,                  1.514,                 1.6012,                    1.6,                0.56268,                0.72517,                 0.6426,                0.38136,                 1.6554,                 1.8315,                 1.5784,               0.001045,               0.001045,               0.001045
                      9,                 1.4683,                 1.5925,                 1.5527,                0.51658,                0.71145,                0.63238,                0.36627,                 1.6099,                 1.9116,                 1.5531,               0.001034,               0.001034,               0.001034
                     10,                 1.4311,                  1.543,                 1.5691,                0.78939,                0.48981,                 0.5994,                0.35226,                 1.6219,                 2.0114,                 1.4722,               0.001023,               0.001023,               0.001023
                     11,                 1.4151,                 1.4899,                 1.5383,                0.64955,                0.67809,                0.69716,                0.41273,                 1.6909,                 1.2002,                 1.4897,               0.001012,               0.001012,               0.001012
                     12,                 1.4099,                 1.4496,                 1.5255,                 0.8424,                0.67463,                0.71631,                0.41827,                 1.6038,                 1.3521,                 1.4756,               0.001001,               0.001001,               0.001001
                     13,                 1.4022,                 1.4807,                 1.5304,                0.52681,                0.61454,                0.64214,                0.41763,                 1.4725,                 1.8803,                 1.3915,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.3929,                 1.4668,                 1.5245,                0.69522,                0.77505,                0.78183,                 0.4853,                 1.4905,                 1.4363,                 1.3873,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.3703,                 1.4162,                 1.4907,                0.85765,                0.71415,                0.79689,                0.45203,                  1.617,                 1.7512,                 1.4469,             0.00096801,             0.00096801,             0.00096801
